"Comment","Designator","Footprint","LCSC Part #"
"4.7uF","C1,C4","C_1206_3216Metric","C29823"
"10uF","C2,C3,C17","C_0805_2012Metric","C15850"
"1uF","C6,C11,C14,C16,C9,C8,C12,C13,C10,C15,C5,C7,C21","C_0603_1608Metric","C15849"
"100nF","C19,C20,C18","C_0402_1005Metric","C1525"
"GREEN","D1","D_0603_1608Metric","C72043"
"RED","D2","D_0603_1608Metric","C2286"
"MBR0530","D4,D5,D6,D3","D_SOD-123","C232832"
"TP4056","IC1","SOP-8","C16581"
"10 uH","L1","L_1210_3225Metric","C86069"
"AO3401A","Q1","SOT-23","C15127"
"AO3400A","Q2","SOT-23","C20917"
"2k","R2,R1","R_0402_1005Metric","C4109"
"10K","R5,R4,R3,R6","R_0402_1005Metric","C25744"
" 0.47 Ohm","R7","R_0603_1608Metric","C23411"
"0 Ohm","R8,R11,R12","R_0402_1005Metric","C21189"
"15k","R9","R_0402_1005Metric","C25756"
"39k","R10","R_0402_1005Metric","C25783"
"STM32L031F6Px","U1","TSSOP-20_4.4x6.5mm_P0.65mm","C115208"
"XC6206P332MR-G","U2","SOT-23","C5446"
"CAT24C256","U3","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
